Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth,country,internet_banking,internet_frequent,internet_purchases,post2020,z_banking,z_freq,z_purchases,digital_index_2,digital_index_3,gdp_growth,unemployment,inflation,policy_rate
ABN AMRO,2015,15.5,26195,230297,85915,1233,3061,505,7130,13207,4355,263674,6076,1924,5228,108001,390317,17584,8455,2.7,Impaired,Impaired ratio,2015,0.00492932667549709,0.01556683413738064,0.6183323477232406,0.6755380882718406,0.590025543340413,1.144930242252396,0.00191524382381273,12.874714508458952,NA,Netherlands,84.53,85.14,59.39,0,1.1099695110656118,1.0787575580830893,0.9375744050582532,1.0943635345743503,1.042100491402318,2.1,7.9,0.2,-0.2063013698630137
ABN AMRO,2016,17,21861,228758,92449,1340,3082,114,6383,12651,3666,266551,6267,1806,5657,104215,394482,18937,8227,3.3,Impaired,Impaired ratio (Total Loans and receivables - customers),2016,0.00457815565729234,0.01588665642538823,0.6876139540537255,0.6756987644556659,0.5798946466505442,1.165209522727074,4.276855085893506e-4,12.88532879085068,0.01091120095269149,Netherlands,84.69,86.49,62.64,0,1.054024790825551,1.002459297838766,0.98531026471962,1.0282420443321585,1.0139314511279789,2.4,7,0.1,-0.3795081967213115
ABN AMRO,2017,17.7,29783,236699,86331,1391,3138,-63,6045,12502,2460,273666,6456,2791,5582,106157,393171,21330,9290,2.5,Impaired,Impaired ratio,2017,0.00709869242645057,0.01642033618959689,0.6008611410118407,0.6960482843342973,0.6020255817443301,1.156177254656758,-2.3020762535353313e-4,12.88199991072035,0.02669282801415118,Netherlands,88.91,89.72,68.05,0,1.1260837589078252,1.1212955502267388,1.1277177883269842,1.123689654567282,1.125032365820516,2.8,5.9,1.3,-0.4
ABN AMRO,2018,18.4,34371,236123,90589,1470,3169,655,6052,12645,2269,269961,6593,2325,5351,105391,381295,21360,9093,2.2,Stage3,Stage 3 Impaired ratio,2018,0.00609764093418481,0.01729107384046473,0.588474650830309,0.70801085773482475,0.619265922710762,1.1433066664407956,0.00242627638807086,12.851328632725322,-0.01353840082436252,Netherlands,88.94,90.23,69.82,0,1.1242132681685049,1.073678370182718,1.1871724373538273,1.0989458191756114,1.1283546919016834,2.3,4.9,1.6,-0.4
ABN AMRO,2019,18.1,27061,234991,85316,489,2121,657,3588,10056,2426,267185,6468,2046,5268,109825,375054,21471,8605,2.5,Stage3,Stage 3 Impaired ratio,2019,0.00545521444911932,0.01724551664560303,0.6122022080185938,0.712390749065468,0.6265524431148581,1.1370009915273351,0.002458970376331,12.834825294585544,-0.01028296679890794,Netherlands,90.63,91.86,69.88,0,1.1004138726687118,1.0136818458066723,0.9917727372014474,1.057047859237692,1.0352894852256105,2.3,4.4,2.7,-0.42876712328767125
ABN AMRO,2020,17.7,60190,238570,75018,695,2253,2303,1952,7815,3467,255626,5863,-45,5256,110481,395623,20989,7916,3.4,Stage3,Stage 3 impaired ratio,2020,-1.137446508418368e-4,0.01481966417523753,0.6639717028802425,0.6461353359132306,0.6030235855852668,1.071492643668525,0.00900925570951311,12.88821701657554,-0.04326215917809761,Netherlands,89.41,90.71,77.32,1,0.95101645862555,0.7062198995192704,1.1268913852128917,0.8286181790724103,0.9280425811192374,-3.9,4.9,1.1,-0.5
ABN AMRO,2021,16.3,66865,251218,67237,550,2213,-46,1808,7018,2416,258715,5210,1234,5806,117693,399113,21999,7597,2.6,Stage3,Stage 3 ratio,2021,0.00309185619110377,0.01305394712775579,0.7642490456759247,0.648224938801793,0.6294407849406058,1.029842606819575,-1.7780182826662545e-4,12.89699986379623,0.0120840603068546,Netherlands,90.76,91.49,83.26,1,1.006083921636998,0.7374626018293355,1.23633069136058,0.8717732617331668,0.9932924049423044,6.3,4.2,2.8,-0.5
ABN AMRO,2022,15.2,60865,255015,63549,493,2271,39,2512,7934,2026,258212,5422,1867,5425,128593,379581,22814,7841,2,Stage3,Stage 3 ratio,2022,0.00491858127777733,0.01428417123090987,0.6918760362198699,0.6802553341710992,0.6718328894228109,1.0125365174597574,1.5103868139358358e-4,12.846823291778191,-0.00194422433952423,Netherlands,90.72,92.63,79.48,1,0.96948907713296,0.8626094995179294,1.1472764842594094,0.9160492883254449,0.993125020303433,5,3.5,11.6,0.011643835616438355
ABN AMRO,2023,14.3,53656,254466,71800,498,2281,-158,9904,16183,1602,253446,6278,2697,5233,140187,377909,24168,8618,1.9,Stage3,Stage 3 ratio,2023,0.00713663871461118,0.0166124649055725,0.6072174518449757,0.6706535171165545,0.6733525795892662,0.9959916059512862,-6.234069584842531e-4,12.84240870487828,-0.01845770142363634,Netherlands,95.13,97.67,84.2,1,1.1216455931518692,1.5117577981047128,1.3352652017076911,1.316701695628291,1.322889530988091,-0.6,3.6,4.1,3.3075342465753423
ABN AMRO,2024,14.5,44464,256186,81155,504,2414,-21,10604,17108,1364,254730,6504,2403,5467,140871,385047,26108,8861,2.1,Stage3,Stage 3 ratio,2024,0.00624079657808007,0.01689144442107067,0.616973253583117,0.6615556023030955,0.665336958864762,0.9943166293240068,-8.244023083264634e-5,12.861120683741095,0.00506616794109993,Netherlands,96.35,98.3,86.66,1,1.1445016029095765,1.439977875098218,1.4133757723483475,1.292239739003897,1.3326184167853807,1.1,3.7,3.2,3.73224043715847
