Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label
ABN AMRO,2015,15.5,26195,230297,85915,1233,3061,505,7130,13207,4355,263674,6076,1924,5228,108001,390317,17584,8455,2.7,Impaired,Impaired ratio
ABN AMRO,2016,17,21861,228758,92449,1340,3082,114,6383,12651,3666,266551,6267,1806,5657,104215,394482,18937,8227,3.3,Impaired,Impaired ratio (Total Loans and receivables - customers)
ABN AMRO,2017,17.7,29783,236699,86331,1391,3138,-63,6045,12502,2460,273666,6456,2791,5582,106157,393171,21330,9290,2.5,Impaired,Impaired ratio
ABN AMRO,2018,18.4,34371,236123,90589,1470,3169,655,6052,12645,2269,269961,6593,2325,5351,105391,381295,21360,9093,2.2,Stage3,Stage 3 Impaired ratio
ABN AMRO,2019,18.1,27061,234991,85316,489,2121,657,3588,10056,2426,267185,6468,2046,5268,109825,375054,21471,8605,2.5,Stage3,Stage 3 Impaired ratio
ABN AMRO,2020,17.7,60190,238570,75018,695,2253,2303,1952,7815,3467,255626,5863,-45,5256,110481,395623,20989,7916,3.4,Stage3,Stage 3 impaired ratio
ABN AMRO,2021,16.3,66865,251218,67237,550,2213,-46,1808,7018,2416,258715,5210,1234,5806,117693,399113,21999,7597,2.6,Stage3,Stage 3 ratio
ABN AMRO,2022,15.2,60865,255015,63549,493,2271,39,2512,7934,2026,258212,5422,1867,5425,128593,379581,22814,7841,2,Stage3,Stage 3 ratio
ABN AMRO,2023,14.3,53656,254466,71800,498,2281,-158,9904,16183,1602,253446,6278,2697,5233,140187,377909,24168,8618,1.9,Stage3,Stage 3 ratio
ABN AMRO,2024,14.5,44464,256186,81155,504,2414,-21,10604,17108,1364,254730,6504,2403,5467,140871,385047,26108,8861,2.1,Stage3,Stage 3 ratio
AIB Group,2015,13,4950,63383,7001,44,449,925,1028,2955,6900,70100,1927,1380,1678,59200,103122,12148,2628,19,Impaired,Impaired loans are 19% of total gross loans
