Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth
ABN AMRO,2015,15.5,26195,230297,85915,1233,3061,505,7130,13207,4355,263674,6076,1924,5228,108001,390317,17584,8455,2.7,Impaired,Impaired ratio,2015,0.004929326675497096,0.015566834137380641,0.6183323477232406,0.6755380882718406,0.590025543340413,1.144930242252396,0.0019152438238127384,12.874714508458952,NA
ABN AMRO,2016,17,21861,228758,92449,1340,3082,114,6383,12651,3666,266551,6267,1806,5657,104215,394482,18937,8227,3.3,Impaired,Impaired ratio (Total Loans and receivables - customers),2016,0.004578155657292348,0.01588665642538823,0.6876139540537255,0.6756987644556659,0.5798946466505442,1.165209522727074,4.276855085893506e-4,12.88532879085068,0.010911200952691491
ABN AMRO,2017,17.7,29783,236699,86331,1391,3138,-63,6045,12502,2460,273666,6456,2791,5582,106157,393171,21330,9290,2.5,Impaired,Impaired ratio,2017,0.007098692426450577,0.016420336189596894,0.6008611410118407,0.6960482843342973,0.6020255817443301,1.1561772546567581,-2.3020762535353313e-4,12.88199991072035,0.026692828014151182
ABN AMRO,2018,18.4,34371,236123,90589,1470,3169,655,6052,12645,2269,269961,6593,2325,5351,105391,381295,21360,9093,2.2,Stage3,Stage 3 Impaired ratio,2018,0.006097640934184818,0.017291073840464733,0.588474650830309,0.70801085773482475,0.619265922710762,1.1433066664407956,0.0024262763880708695,12.851328632725322,-0.013538400824362529
ABN AMRO,2019,18.1,27061,234991,85316,489,2121,657,3588,10056,2426,267185,6468,2046,5268,109825,375054,21471,8605,2.5,Stage3,Stage 3 Impaired ratio,2019,0.005455214449119327,0.017245516645603032,0.6122022080185938,0.712390749065468,0.6265524431148581,1.1370009915273351,0.0024589703763310067,12.834825294585544,-0.010282966798907944
ABN AMRO,2020,17.7,60190,238570,75018,695,2253,2303,1952,7815,3467,255626,5863,-45,5256,110481,395623,20989,7916,3.4,Stage3,Stage 3 impaired ratio,2020,-1.137446508418368e-4,0.014819664175237536,0.6639717028802425,0.6461353359132306,0.6030235855852668,1.071492643668525,0.009009255709513117,12.88821701657554,-0.043262159178097614
ABN AMRO,2021,16.3,66865,251218,67237,550,2213,-46,1808,7018,2416,258715,5210,1234,5806,117693,399113,21999,7597,2.6,Stage3,Stage 3 ratio,2021,0.0030918561911037726,0.013053947127755799,0.7642490456759247,0.648224938801793,0.6294407849406058,1.029842606819575,-1.7780182826662543e-4,12.89699986379623,0.012084060306854605
ABN AMRO,2022,15.2,60865,255015,63549,493,2271,39,2512,7934,2026,258212,5422,1867,5425,128593,379581,22814,7841,2,Stage3,Stage 3 ratio,2022,0.0049185812777773385,0.014284171230909871,0.6918760362198699,0.6802553341710992,0.6718328894228109,1.0125365174597574,1.5103868139358358e-4,12.846823291778193,-0.0019442243395242365
ABN AMRO,2023,14.3,53656,254466,71800,498,2281,-158,9904,16183,1602,253446,6278,2697,5233,140187,377909,24168,8618,1.9,Stage3,Stage 3 ratio,2023,0.0071366387146111895,0.016612464905572506,0.6072174518449757,0.6706535171165545,0.6733525795892662,0.9959916059512862,-6.234069584842531e-4,12.842408704878281,-0.01845770142363634
ABN AMRO,2024,14.5,44464,256186,81155,504,2414,-21,10604,17108,1364,254730,6504,2403,5467,140871,385047,26108,8861,2.1,Stage3,Stage 3 ratio,2024,0.0062407965780800784,0.016891444421070673,0.616973253583117,0.6615556023030955,0.665336958864762,0.9943166293240068,-8.244023083264634e-5,12.861120683741095,0.0050661679410999305
AIB Group,2015,13,4950,63383,7001,44,449,925,1028,2955,6900,70100,1927,1380,1678,59200,103122,12148,2628,19,Impaired,Impaired loans are 19% of total gross loans,2015,0.013382207482399489,0.01868660421636508,0.6385083713850838,0.6797773510986986,0.6146409107658889,1.1059747881924176,0.013195435092724679,11.543668032304742,NA
AIB Group,2016,15.3,6519,63502,6880,35,430,294,598,2611,4589,65228,2013,1356,1571,54200,95622,13148,2919,14,Other,Total % of total gross loans,2016,0.014180837045868106,0.021051640835790926,0.538198013018157,0.6821442764217439,0.6640940369371066,1.0271802462914554,0.00450726681793095,11.46815819808769,-0.06950071326676177
AIB Group,2017,17.5,6364,64572,4590,45,436,113,305,2481,3345,63338,2176,1114,1835,51823,90062,13612,3001,16,Other,Total non performing loans / Total loans (%),2017,0.01236925673424974,0.02416113344140703,0.611462845718094,0.7032710799227199,0.716972752104106,0.9808895496500031,0.0017840790678581577,11.408253601026258,-0.02897528668669891
AIB Group,2018,17.5,6516,67699,5745,41,498,204,266,2366,2039,62907,2100,1092,1823,51439,91536,13858,2874,10,NPL,Total non-performing loans/ Total loans (%),2018,0.011929732564237022,0.022941793392763504,0.6343075852470424,0.6872378080755113,0.7395887956650935,0.9292160888639419,0.003242882350135915,11.42448761650831,-0.006804761754397037
AIB Group,2019,17.3,11982,71803,6831,71,543,-16,294,2370,1238,62126,2076,364,2181,51999,98562,14230,2655,5.4,NPL,Non-performing loans ratio,2019,0.0036931068768896735,0.021062884275887258,0.8214689265536723,0.630324059982549,0.7285059150585418,0.8652284723479521,-2.575411260985739e-4,11.498441070769255,-0.012415152526745854
AIB Group,2020,15.6,25550,81972,5450,169,564,-1460,255,2127,-2510,59455,1872,-741,1859,52579,110385,13421,2373,7.3,NPL,Total non-performing loans/Total loans (%),2020,-0.006712868596276668,0.01695882592743579,0.7833965444584914,0.5386148480318884,0.7426008968609865,0.7253086419753086,-0.024556387183584223,11.61172953402881,-0.04299327173808065
AIB Group,2021,16.6,42654,92866,5819,160,640,238,290,2084,-1885,58393,1794,645,2006,52358,127875,13660,2379,5.4,NPL,Non-performing loans ratio,2021,0.005043988269794721,0.01402932551319648,0.8432114333753677,0.45664125122189636,0.7262248289345064,0.6287877156332781,0.004075831007141267,11.758808503253928,-0.0178622487595661
AIB Group,2022,16.3,38138,102400,7200,177,765,-7,353,2512,1618,61231,2159,765,2063,55333,129752,12261,2913,3.5,NPL,Non-performing loans as a % of total loans and advances to customers,2022,0.0058958628768728035,0.01663943523028547,0.7082046000686577,0.4719079474690178,0.7891978543683335,0.597958984375,-1.1432117718149303e-4,11.773380215167526,0.048601715959104785
AIB Group,2023,15.8,38018,104782,8423,173,806,-172,804,4645,-1520,67011,3841,2058,2142,59463,136349,15077,4722,3,NPL,Non-performing loans as a % of total loans and advances to customers,2023,0.015093620048551878,0.028170356951646144,0.4536213468869123,0.49146675076458207,0.7684838172630529,0.6395277814891871,-0.0025667427735744878,11.8229730541801,0.09439662915843283
AIB Group,2024,15.1,37315,109883,8832,164,845,-55,1247,5376,-1344,71233,4129,2351,2195,62030,141266,15437,4928,2.7,Stage3,Computed: Stage 3 loans / Total gross loans (amortised cost),2024,0.016642362635028954,0.029228547562753955,0.445413961038961,0.5042473064997948,0.7778446335282375,0.6482622425670941,-7.721140482641472e-4,11.858399916929917,0.06300458133739228
BBVA,2015,NA,43467,403069,66165,1729,6340,-4272,8761,24783,NA,NA,16022,2642,10836,NA,750078,55439,23362,NA,NA,NA,2015,0.003522300347430534,0.021360445180367907,0.46383015152812257,NA,0.5373694469108546,NA,NA,13.527932480104868,NA
BBVA,2016,NA,43184,401465,74581,2086,6804,-3835,10648,27708,-9428,NA,17059,3475,10323,NA,731856,55428,24655,6.8,NPL,Non-performing loans and advances as a % of the total,2016,0.004748201832054393,0.02330923023108371,0.4186980328533766,NA,0.5485573664764654,NA,NA,13.503339052279799,NA
BBVA,2017,11.7,42680,376379,63915,2229,7150,-4803,11537,29296,-6950,400369,17758,3519,11112,361686,690059,53283,25270,5.4,NPL,Non-performing loans and advances as a % of the total,2017,0.005099563950328885,0.025734031437891543,0.4397309062129007,0.5801953166323459,0.5454301733619878,1.0637389439899676,-0.011996433290289708,13.444532380164283,NA
BBVA,2018,11.6,58196,375970,61112,2253,7132,-3981,12239,29831,12493,386225,17591,5324,11702,348254,676689,52874,23747,3.9,NPL,NPL ratio (%),2018,0.00786772062202873,0.025995693738186967,0.4927780351202257,0.5707570242755534,0.5556023520405977,1.027276112455781,-0.010307463266230823,13.424967066731318,-0.03532741046384713
BBVA,2019,11.98,44303,384219,63963,2489,7522,-4151,12859,31061,-12427,394763,18202,3512,11902,364448,698690,54925,24542,3.8,NPL,NPL ratio,2019,0.005026549685840645,0.026051610871774322,0.484964550566376,0.5650045084372183,0.5499134093804119,1.0274426824285108,-0.010515169861410517,13.45696243214386,0.022106285196452857
BBVA,2020,11.73,65520,409122,61780,1857,5980,-5179,7797,22389,-13133,378139,14592,1305,10755,364448,736176,50020,20166,4,NPL,NPL ratio,2020,0.0017726739258003522,0.01982134706917911,0.5333234156501041,0.5136529851557237,0.55573938840712,0.9242695332932475,-0.013696021833241215,13.509224499558671,-0.042111342755020154
BBVA,2021,12.75,67799,349761,55763,2232,6997,-3034,8329,23015,-11116,330055,14686,4653,9530,307331,662885,48760,21066,4.1,NPL,NPL ratio (%),2021,0.007019317076114258,0.022154672379070275,0.45238773378904396,0.4979068767584121,0.5276345067394796,0.9436586697773622,-0.009192407326051718,13.404356800126132,-0.12715958946313388
BBVA,2022,12.61,79756,393856,55429,2907,8261,-3379,12279,31432,11764,369260,19153,6420,10760,336920,713140,50615,24890,3.4,NPL,NPL Ratio,2022,0.009002439913621449,0.02685727907563732,0.4323021293692246,0.5177945424460835,0.5522842639593909,0.9375507799805005,-0.009150733900232898,13.477433033557805,0.11878323309751404
BBVA,2023,12.67,75416,413487,77750,3611,9899,-4428,24761,47850,11762,388912,23089,8019,12309,363916,775558,55265,29542,3.4,NPL,NPL ratio,2023,0.010339652224591843,0.02977082307190436,0.41666102498138247,0.5014608836476446,0.5331477465257273,0.9405664506985709,-0.01138560908380302,13.561338049259833,0.05321995342035413
BBVA,2024,12.84,51145,447646,69867,5048,13036,-5745,36392,61659,11905,424087,25267,10575,12660,370165,772402,60014,35481,3.3,NPL,NPL ratio,2024,0.013691057247391902,0.03271224051724361,0.3568106874101632,0.5490495881678193,0.5795505449234983,0.9473713604053203,-0.013546748662420683,13.557260418865097,0.0904446250051425
BNP Paribas,2015,11,134547,700309,159447,5720,13335,-3797,18828,41381,27676,708691,22553,7044,29254,629626,1994193,100077,42938,NA,NA,NA,2015,0.003532255905020226,0.011309336658989375,0.6813079323675998,0.3553773381011768,0.3511741340983546,1.011969002254719,-0.005357765231955817,14.505750015191149,NA
BNP Paribas,2016,11.6,160400,765953,153422,5563,12765,-3262,18518,40894,28475,739278,22376,8115,29378,638207,2076959,105220,43411,3.8,Other,DOUBTFUL LOANS(*)/LOANS(**),2016,0.003907154642917843,0.010773443288962372,0.6767409182004561,0.35594251017954615,0.3687858065566051,0.9651741033718779,-0.004412413192330896,14.546415362653784,0.043159853871433285
